Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID,High_Risk_Flag,Risk Category
AGT60548674,Renewed,2,81,POL21893654,1,High Risk
AGT15928890,Renewed,23,90,POL88802098,1,High Risk
AGT42221698,Not Renewed,20,10,POL47409156,0,Low Risk
AGT99012819,Renewed,13,56,POL12333540,0,Medium Risk
AGT60367390,Pending,49,39,POL97112066,0,Medium Risk
AGT16692500,Renewed,4,96,POL83318258,1,High Risk
AGT87673631,Renewed,6,31,POL98060005,0,Medium Risk
AGT39341646,Pending,13,86,POL54140134,1,High Risk
AGT15986892,Renewed,18,31,POL68523270,0,Medium Risk
AGT34579920,Not Renewed,12,96,POL24523489,1,High Risk
AGT59554873,Not Renewed,23,66,POL63559916,0,High Risk
AGT08527717,Not Renewed,34,97,POL04817251,1,High Risk
AGT12372743,Pending,7,19,POL16158469,0,Low Risk
AGT41927714,Renewed,27,68,POL70411495,0,High Risk
AGT78768111,Renewed,36,44,POL04317062,0,Medium Risk
AGT92749001,Renewed,3,70,POL65664761,1,High Risk
AGT89914925,Not Renewed,0,96,POL97107834,1,High Risk
AGT29908905,Pending,34,52,POL54636114,0,Medium Risk
AGT61116641,Pending,28,66,POL46770635,0,High Risk
AGT57708211,Renewed,50,65,POL31689204,0,High Risk
AGT68431173,Pending,20,11,POL01562531,0,Low Risk
AGT76152251,Not Renewed,34,14,POL05208106,0,Low Risk
AGT00526785,Renewed,14,99,POL82154213,1,High Risk
AGT34200164,Pending,32,100,POL93979639,1,High Risk
AGT22232497,Not Renewed,8,28,POL42360341,0,Low Risk
AGT76969909,Renewed,16,11,POL06836904,0,Low Risk
AGT78175799,Renewed,3,64,POL56668614,0,High Risk
AGT77739294,Pending,46,6,POL30563403,0,Low Risk
AGT24454901,Not Renewed,7,96,POL99360572,1,High Risk
AGT69535902,Pending,18,20,POL34787590,0,Low Risk
AGT90019214,Pending,48,9,POL87094510,0,Low Risk
AGT87441246,Not Renewed,30,15,POL39823507,0,Low Risk
AGT00165849,Pending,4,8,POL27805496,0,Low Risk
AGT81065381,Not Renewed,47,94,POL75285626,1,High Risk
AGT05483710,Pending,38,98,POL33045617,1,High Risk
AGT59570266,Renewed,42,87,POL43978572,1,High Risk
AGT94182643,Not Renewed,24,80,POL97172919,1,High Risk
AGT57438348,Renewed,1,66,POL57660624,0,High Risk
AGT49428557,Not Renewed,43,100,POL97141577,1,High Risk
AGT29163029,Renewed,8,28,POL72882206,0,Low Risk
AGT71347223,Renewed,37,20,POL18209726,0,Low Risk
AGT73300909,Pending,1,99,POL13830672,1,High Risk
AGT92567481,Not Renewed,31,14,POL47058325,0,Low Risk
AGT85062179,Renewed,35,88,POL81166647,1,High Risk
AGT83157774,Not Renewed,16,95,POL38243316,1,High Risk
AGT06205845,Not Renewed,43,2,POL54451854,0,Low Risk
AGT47134054,Pending,42,27,POL82263236,0,Low Risk
AGT16339543,Renewed,17,99,POL90131284,1,High Risk
AGT56192595,Not Renewed,8,76,POL26293582,1,High Risk
AGT59569820,Not Renewed,0,78,POL78678051,1,High Risk
AGT03066612,Not Renewed,40,11,POL47598430,0,Low Risk
AGT34664827,Renewed,49,16,POL81442858,0,Low Risk
AGT54315529,Not Renewed,20,66,POL55191578,0,High Risk
AGT66235603,Not Renewed,46,25,POL27120331,0,Low Risk
AGT35207521,Not Renewed,31,20,POL07162543,0,Low Risk
AGT70373802,Renewed,32,83,POL95376981,1,High Risk
AGT98646739,Pending,13,40,POL52820408,0,Medium Risk
AGT92454216,Pending,24,64,POL19547939,0,High Risk
AGT00952090,Renewed,27,90,POL68111520,1,High Risk
AGT19951838,Renewed,28,81,POL36499322,1,High Risk
AGT03921996,Not Renewed,10,30,POL32150481,0,Low Risk
AGT39617618,Renewed,20,93,POL88380542,1,High Risk
AGT61433055,Renewed,43,57,POL80647168,0,Medium Risk
AGT11706758,Renewed,3,59,POL38987416,0,Medium Risk
AGT32700673,Renewed,4,14,POL00083014,0,Low Risk
AGT05655177,Renewed,10,79,POL31461864,1,High Risk
AGT68490761,Not Renewed,46,81,POL54483538,1,High Risk
AGT73659480,Pending,37,6,POL81378407,0,Low Risk
AGT67056573,Renewed,27,68,POL61308425,0,High Risk
AGT54103993,Not Renewed,34,92,POL38013131,1,High Risk
AGT40123775,Pending,43,13,POL05346323,0,Low Risk
AGT25548856,Pending,27,80,POL64258389,1,High Risk
AGT19506228,Renewed,36,95,POL17357252,1,High Risk
AGT37188655,Renewed,31,41,POL34904099,0,Medium Risk
AGT80456582,Not Renewed,4,33,POL72738203,0,Medium Risk
AGT77886874,Not Renewed,33,43,POL70954405,0,Medium Risk
AGT69372806,Pending,6,60,POL51543894,0,Medium Risk
AGT88057806,Pending,22,45,POL80620404,0,Medium Risk
AGT36368961,Renewed,1,50,POL91781501,0,Medium Risk
AGT70129314,Pending,27,28,POL32483993,0,Low Risk
AGT08769669,Renewed,33,3,POL24708378,0,Low Risk
AGT98467458,Renewed,47,63,POL16494384,0,High Risk
AGT38346405,Pending,32,11,POL16772067,0,Low Risk
AGT62720645,Not Renewed,29,23,POL43083313,0,Low Risk
AGT30393232,Not Renewed,38,68,POL49745850,0,High Risk
AGT16991604,Not Renewed,40,16,POL32270366,0,Low Risk
AGT55450180,Renewed,37,96,POL76043297,1,High Risk
AGT39447688,Pending,35,51,POL60143824,0,Medium Risk
AGT58293183,Pending,50,25,POL97550763,0,Low Risk
AGT30444682,Pending,48,95,POL97742612,1,High Risk
AGT41104484,Not Renewed,8,41,POL64302284,0,Medium Risk
AGT51259974,Renewed,18,97,POL56785706,1,High Risk
AGT54327832,Not Renewed,39,70,POL80161505,1,High Risk
AGT94057606,Renewed,29,80,POL49730272,1,High Risk
AGT24399946,Pending,40,76,POL48692889,1,High Risk
AGT68887927,Pending,6,79,POL59708414,1,High Risk
AGT33620326,Renewed,42,89,POL12912083,1,High Risk
AGT62038930,Pending,26,54,POL77831101,0,Medium Risk
AGT37764192,Not Renewed,0,28,POL13181341,0,Low Risk
AGT89530394,Renewed,19,19,POL28786930,0,Low Risk
AGT10655262,Not Renewed,23,24,POL84549394,0,Low Risk
AGT03964867,Not Renewed,15,4,POL10704502,0,Low Risk
AGT78153598,Not Renewed,45,7,POL38732884,0,Low Risk
AGT74419819,Not Renewed,1,38,POL75720719,0,Medium Risk
AGT89058798,Pending,3,53,POL26162057,0,Medium Risk
AGT76426387,Not Renewed,18,69,POL75089142,0,High Risk
AGT37470653,Renewed,31,53,POL66183736,0,Medium Risk
AGT03923721,Renewed,11,90,POL62525398,1,High Risk
AGT23026130,Renewed,17,24,POL28794187,0,Low Risk
AGT72605043,Pending,24,20,POL92222297,0,Low Risk
AGT33107700,Renewed,12,27,POL01033936,0,Low Risk
AGT51939932,Not Renewed,26,96,POL76374292,1,High Risk
AGT48803449,Pending,3,22,POL87664346,0,Low Risk
AGT87999065,Pending,38,73,POL62189642,1,High Risk
AGT31392882,Not Renewed,2,65,POL60737583,0,High Risk
AGT48143419,Not Renewed,13,86,POL95387029,1,High Risk
AGT71162128,Renewed,9,84,POL32733098,1,High Risk
AGT74659233,Pending,37,98,POL77019254,1,High Risk
AGT32833809,Not Renewed,24,96,POL02597557,1,High Risk
AGT56751869,Not Renewed,24,15,POL45321254,0,Low Risk
AGT60698406,Not Renewed,32,47,POL24753734,0,Medium Risk
AGT76505336,Pending,15,32,POL21924883,0,Medium Risk
AGT20564507,Not Renewed,10,24,POL45105855,0,Low Risk
AGT42683231,Renewed,36,41,POL53613913,0,Medium Risk
AGT84540516,Not Renewed,6,76,POL22302710,1,High Risk
AGT47050590,Not Renewed,8,59,POL37452247,0,Medium Risk
AGT38010001,Renewed,39,37,POL67279435,0,Medium Risk
AGT20677978,Renewed,14,76,POL61218156,1,High Risk
AGT73968051,Not Renewed,3,72,POL38619975,1,High Risk
AGT95367675,Renewed,0,82,POL88503599,1,High Risk
AGT69494978,Not Renewed,33,11,POL69041241,0,Low Risk
AGT29094398,Not Renewed,2,38,POL46495596,0,Medium Risk
AGT70466820,Renewed,10,85,POL34251194,1,High Risk
AGT03331291,Renewed,40,100,POL77104949,1,High Risk
AGT14285330,Pending,21,9,POL40125720,0,Low Risk
AGT58133289,Not Renewed,10,42,POL63626262,0,Medium Risk
AGT75880461,Renewed,33,32,POL74568057,0,Medium Risk
AGT28086404,Renewed,12,76,POL52774850,1,High Risk
AGT92110080,Not Renewed,12,64,POL17282682,0,High Risk
AGT05803055,Not Renewed,14,22,POL81122472,0,Low Risk
AGT27096177,Pending,32,95,POL39104228,1,High Risk
AGT75200326,Renewed,28,32,POL39650167,0,Medium Risk
AGT08468404,Pending,34,99,POL76903743,1,High Risk
AGT85429771,Pending,43,91,POL82111920,1,High Risk
AGT08834079,Pending,15,70,POL39805762,1,High Risk
AGT40136857,Renewed,31,98,POL50354765,1,High Risk
AGT65268634,Not Renewed,24,88,POL61924951,1,High Risk
AGT52644590,Not Renewed,16,79,POL48511316,1,High Risk
AGT21732408,Pending,38,82,POL51366884,1,High Risk
AGT33119136,Not Renewed,15,43,POL46853221,0,Medium Risk
AGT92652990,Pending,30,98,POL03944211,1,High Risk
AGT48496317,Pending,22,76,POL15004770,1,High Risk
AGT62754643,Pending,35,31,POL04951844,0,Medium Risk
AGT90274927,Renewed,2,66,POL38588789,0,High Risk
AGT47619095,Renewed,15,37,POL82419107,0,Medium Risk
AGT30399450,Not Renewed,31,76,POL33737447,1,High Risk
AGT88407038,Not Renewed,25,59,POL64767382,0,Medium Risk
AGT92550011,Pending,11,1,POL23594772,0,Low Risk
AGT59255361,Renewed,48,52,POL94518815,0,Medium Risk
AGT55291369,Pending,19,73,POL37985546,1,High Risk
AGT81423408,Renewed,30,4,POL95836164,0,Low Risk
AGT73811983,Renewed,46,65,POL41393239,0,High Risk
AGT21277595,Pending,16,100,POL95244165,1,High Risk
AGT07107431,Not Renewed,27,45,POL63274681,0,Medium Risk
AGT38608444,Renewed,26,82,POL97969575,1,High Risk
AGT16776278,Not Renewed,8,90,POL33330579,1,High Risk
AGT40467903,Not Renewed,50,5,POL82251135,0,Low Risk
AGT98652077,Not Renewed,39,2,POL93411965,0,Low Risk
AGT89903402,Renewed,33,21,POL22177049,0,Low Risk
AGT99495062,Not Renewed,18,22,POL02585077,0,Low Risk
AGT43336552,Renewed,36,12,POL01267201,0,Low Risk
AGT76752602,Not Renewed,20,92,POL45899805,1,High Risk
AGT13375237,Not Renewed,34,38,POL76517809,0,Medium Risk
AGT66093598,Pending,22,27,POL88210682,0,Low Risk
AGT26504252,Not Renewed,25,31,POL85021281,0,Medium Risk
AGT87256601,Pending,23,100,POL81192447,1,High Risk
AGT67575849,Renewed,17,54,POL75206437,0,Medium Risk
AGT85550265,Pending,12,49,POL49763923,0,Medium Risk
AGT25205923,Not Renewed,9,66,POL10008915,0,High Risk
AGT12390221,Renewed,43,86,POL02313500,1,High Risk
AGT61322860,Pending,41,64,POL09750798,0,High Risk
AGT26864803,Pending,30,43,POL36666009,0,Medium Risk
AGT63204955,Not Renewed,9,96,POL96855506,1,High Risk
AGT70825273,Not Renewed,22,69,POL71516749,0,High Risk
AGT98566760,Not Renewed,37,24,POL95480869,0,Low Risk
AGT59811328,Not Renewed,42,89,POL46131890,1,High Risk
AGT50805566,Pending,46,83,POL64900151,1,High Risk
AGT14301005,Not Renewed,43,58,POL42034856,0,Medium Risk
AGT51929051,Pending,7,31,POL60897326,0,Medium Risk
AGT99121921,Not Renewed,38,18,POL38380842,0,Low Risk
AGT25569174,Renewed,40,86,POL51145073,1,High Risk
AGT72424925,Renewed,44,93,POL73019543,1,High Risk
AGT38458755,Pending,47,55,POL15948540,0,Medium Risk
AGT60864068,Not Renewed,44,42,POL45059272,0,Medium Risk
AGT28919827,Not Renewed,31,60,POL46263397,0,Medium Risk
AGT07435520,Pending,46,44,POL66640089,0,Medium Risk
AGT51523784,Pending,49,25,POL17047233,0,Low Risk
AGT70998152,Not Renewed,36,14,POL96919228,0,Low Risk
AGT00146313,Renewed,47,13,POL33693707,0,Low Risk
AGT85883649,Not Renewed,31,60,POL81185546,0,Medium Risk
AGT80475476,Pending,37,68,POL05429840,0,High Risk
AGT44979089,Not Renewed,28,79,POL50110641,1,High Risk
AGT66467932,Not Renewed,5,90,POL71744441,1,High Risk
AGT71923800,Renewed,22,36,POL80794764,0,Medium Risk
AGT17394553,Pending,21,3,POL64700295,0,Low Risk
AGT98734146,Not Renewed,42,37,POL98412521,0,Medium Risk
AGT90931380,Pending,18,18,POL23491107,0,Low Risk
AGT62253770,Renewed,16,84,POL97266170,1,High Risk
AGT66575714,Renewed,26,18,POL60046834,0,Low Risk
AGT21623920,Not Renewed,46,8,POL72656147,0,Low Risk
AGT34856076,Not Renewed,7,81,POL74554228,1,High Risk
AGT43555473,Renewed,42,3,POL98054081,0,Low Risk
AGT85093159,Renewed,40,36,POL35020187,0,Medium Risk
AGT80474616,Renewed,27,63,POL44308362,0,High Risk
AGT28171168,Not Renewed,50,41,POL68261547,0,Medium Risk
AGT07617950,Not Renewed,17,94,POL26905808,1,High Risk
AGT73468459,Not Renewed,15,71,POL86166507,1,High Risk
AGT33628816,Not Renewed,22,36,POL50777099,0,Medium Risk
AGT85406800,Pending,45,16,POL93547945,0,Low Risk
AGT14631929,Not Renewed,49,29,POL07046709,0,Low Risk
AGT86149386,Renewed,44,95,POL21148415,1,High Risk
AGT79296092,Not Renewed,45,36,POL82205448,0,Medium Risk
AGT12463171,Not Renewed,7,44,POL12315723,0,Medium Risk
AGT11995357,Not Renewed,37,41,POL47731308,0,Medium Risk
AGT72297030,Renewed,32,29,POL43397255,0,Low Risk
AGT20358120,Not Renewed,15,32,POL11204815,0,Medium Risk
AGT90750525,Not Renewed,26,50,POL99143995,0,Medium Risk
AGT54961098,Renewed,23,16,POL26146635,0,Low Risk
AGT19894422,Renewed,43,63,POL26656861,0,High Risk
AGT76909046,Not Renewed,43,81,POL35610268,1,High Risk
AGT32696972,Pending,26,52,POL85095212,0,Medium Risk
AGT99816509,Pending,14,82,POL50064094,1,High Risk
AGT54266292,Not Renewed,49,5,POL21104754,0,Low Risk
AGT45051677,Not Renewed,5,96,POL17443101,1,High Risk
AGT78263439,Renewed,48,2,POL13777499,0,Low Risk
AGT59897337,Renewed,47,21,POL64793827,0,Low Risk
AGT84213331,Pending,50,41,POL04297854,0,Medium Risk
AGT40449378,Not Renewed,1,72,POL25054429,1,High Risk
AGT43268338,Not Renewed,7,8,POL83519950,0,Low Risk
AGT53675858,Pending,39,7,POL01371032,0,Low Risk
AGT98835382,Not Renewed,50,20,POL73793836,0,Low Risk
AGT93407074,Pending,28,16,POL96932553,0,Low Risk
AGT00348040,Renewed,39,81,POL28853856,1,High Risk
AGT13144167,Not Renewed,17,53,POL65042207,0,Medium Risk
AGT49460453,Pending,8,14,POL94939680,0,Low Risk
AGT62996888,Renewed,46,8,POL31533848,0,Low Risk
AGT26125144,Renewed,48,71,POL06413142,1,High Risk
AGT69985119,Renewed,39,91,POL28065491,1,High Risk
AGT33383010,Renewed,19,20,POL98433170,0,Low Risk
AGT82813977,Renewed,4,33,POL73294320,0,Medium Risk
AGT42300781,Renewed,19,21,POL14657611,0,Low Risk
AGT75504303,Renewed,12,43,POL58974752,0,Medium Risk
AGT03747643,Pending,18,58,POL89482669,0,Medium Risk
AGT93944947,Pending,26,16,POL08716825,0,Low Risk
AGT80747820,Renewed,13,27,POL19720600,0,Low Risk
AGT84071940,Renewed,47,8,POL16699537,0,Low Risk
AGT42157835,Renewed,32,73,POL26365674,1,High Risk
AGT83682172,Renewed,16,13,POL86711709,0,Low Risk
AGT21577486,Pending,8,89,POL29474046,1,High Risk
AGT65227362,Not Renewed,29,94,POL45601263,1,High Risk
AGT63379384,Renewed,45,42,POL61565872,0,Medium Risk
AGT87671508,Pending,50,17,POL52327651,0,Low Risk
AGT36122798,Not Renewed,17,79,POL40589612,1,High Risk
AGT97371857,Not Renewed,48,87,POL72673699,1,High Risk
AGT30749142,Pending,6,10,POL86347307,0,Low Risk
AGT36739708,Not Renewed,46,45,POL74599769,0,Medium Risk
AGT60340010,Not Renewed,43,30,POL02256240,0,Low Risk
AGT06980160,Not Renewed,13,93,POL02002771,1,High Risk
AGT86029376,Renewed,32,69,POL43561258,0,High Risk
AGT61857989,Not Renewed,46,96,POL83865881,1,High Risk
AGT65044560,Renewed,15,36,POL91395324,0,Medium Risk
AGT74553166,Not Renewed,32,77,POL86285298,1,High Risk
AGT65406446,Renewed,11,4,POL86723130,0,Low Risk
AGT02801413,Renewed,32,69,POL32900389,0,High Risk
AGT03963358,Not Renewed,35,27,POL90610731,0,Low Risk
AGT24601217,Pending,13,95,POL85757109,1,High Risk
AGT75655739,Pending,1,10,POL11989725,0,Low Risk
AGT04068198,Not Renewed,14,7,POL00974449,0,Low Risk
AGT54296493,Pending,15,98,POL24717008,1,High Risk
AGT98147561,Pending,41,34,POL34269181,0,Medium Risk
AGT79867404,Not Renewed,27,51,POL29465290,0,Medium Risk
AGT34644256,Not Renewed,37,9,POL62243302,0,Low Risk
AGT65027784,Not Renewed,3,46,POL64410288,0,Medium Risk
AGT88433429,Renewed,46,1,POL99021522,0,Low Risk
AGT64225908,Renewed,36,72,POL82132627,1,High Risk
AGT65005869,Not Renewed,34,27,POL60496337,0,Low Risk
AGT01209107,Pending,37,20,POL15628115,0,Low Risk
AGT01465812,Not Renewed,22,72,POL62548114,1,High Risk
AGT86288403,Pending,41,65,POL29520885,0,High Risk
AGT05461212,Pending,29,7,POL30595324,0,Low Risk
AGT07975754,Not Renewed,9,3,POL03911421,0,Low Risk
AGT69429138,Pending,17,37,POL90576138,0,Medium Risk
AGT35536138,Renewed,50,27,POL84274065,0,Low Risk
AGT00641722,Not Renewed,19,19,POL83835374,0,Low Risk
AGT40962830,Not Renewed,40,9,POL59501098,0,Low Risk
AGT79861609,Pending,35,84,POL05014236,1,High Risk
AGT61029537,Not Renewed,50,33,POL87430711,0,Medium Risk
AGT73748846,Pending,22,81,POL04286300,1,High Risk
AGT86034163,Pending,6,29,POL27460532,0,Low Risk
AGT08467366,Pending,36,56,POL96972550,0,Medium Risk
AGT12336355,Pending,28,41,POL58339093,0,Medium Risk
AGT10392365,Renewed,27,90,POL44082493,1,High Risk
AGT26624177,Not Renewed,25,67,POL98942710,0,High Risk
AGT73420584,Renewed,47,87,POL33015134,1,High Risk
AGT39146162,Renewed,38,44,POL56933693,0,Medium Risk
AGT45807890,Renewed,44,33,POL20256761,0,Medium Risk
AGT35580494,Renewed,25,38,POL85669523,0,Medium Risk
AGT94393892,Pending,8,50,POL59177631,0,Medium Risk
AGT07608627,Pending,15,70,POL81473954,1,High Risk
AGT25879867,Pending,30,55,POL03154234,0,Medium Risk
AGT81767306,Not Renewed,12,97,POL56172682,1,High Risk
AGT41671470,Not Renewed,28,64,POL33238422,0,High Risk
AGT40014491,Renewed,15,65,POL27372206,0,High Risk
AGT66833906,Pending,35,65,POL10833752,0,High Risk
AGT04218240,Pending,27,67,POL40158884,0,High Risk
AGT82540772,Not Renewed,25,70,POL78507070,1,High Risk
AGT09891983,Renewed,43,80,POL19362691,1,High Risk
AGT91767140,Renewed,34,77,POL06565717,1,High Risk
AGT05448098,Pending,35,48,POL26935323,0,Medium Risk
AGT90802149,Pending,35,83,POL71741054,1,High Risk
AGT98826706,Pending,36,100,POL72311298,1,High Risk
AGT05711061,Pending,18,18,POL89729174,0,Low Risk
AGT55077663,Pending,15,40,POL86664104,0,Medium Risk
AGT32676513,Pending,37,28,POL80418743,0,Low Risk
AGT00935369,Pending,49,45,POL37305327,0,Medium Risk
AGT89152710,Not Renewed,34,44,POL89665327,0,Medium Risk
AGT91760284,Not Renewed,33,56,POL50162963,0,Medium Risk
AGT13614081,Renewed,41,52,POL53959309,0,Medium Risk
AGT19516199,Not Renewed,42,76,POL63414573,1,High Risk
AGT91524077,Not Renewed,23,85,POL01969422,1,High Risk
AGT82335888,Not Renewed,2,48,POL95381325,0,Medium Risk
AGT28123557,Pending,35,29,POL49392272,0,Low Risk
AGT15376923,Pending,27,77,POL57078202,1,High Risk
AGT84060532,Renewed,33,40,POL73942123,0,Medium Risk
AGT06882034,Not Renewed,17,41,POL54249410,0,Medium Risk
AGT29399240,Not Renewed,32,39,POL19058769,0,Medium Risk
AGT42998361,Not Renewed,16,29,POL23237918,0,Low Risk
AGT55876112,Not Renewed,43,21,POL13071740,0,Low Risk
AGT42363168,Renewed,22,92,POL97923307,1,High Risk
AGT29337837,Not Renewed,9,1,POL96578326,0,Low Risk
AGT63877762,Pending,21,17,POL84238087,0,Low Risk
AGT10313012,Renewed,36,74,POL41303027,1,High Risk
AGT97870147,Not Renewed,46,63,POL98434828,0,High Risk
AGT54017922,Renewed,19,39,POL71218396,0,Medium Risk
AGT75373383,Renewed,44,90,POL66883101,1,High Risk
AGT09796446,Pending,38,100,POL95137552,1,High Risk
AGT22658073,Pending,7,11,POL45656881,0,Low Risk
AGT65808447,Pending,30,63,POL38710685,0,High Risk
AGT41268647,Not Renewed,3,48,POL13276567,0,Medium Risk
AGT30963575,Pending,41,25,POL31888448,0,Low Risk
AGT80579410,Renewed,46,74,POL03123237,1,High Risk
AGT38091841,Not Renewed,6,96,POL50504166,1,High Risk
AGT91969021,Pending,46,20,POL05439001,0,Low Risk
AGT35547259,Renewed,48,2,POL78750589,0,Low Risk
AGT34757080,Renewed,34,81,POL18037009,1,High Risk
AGT25095694,Renewed,16,63,POL26720328,0,High Risk
AGT61529400,Renewed,7,23,POL41993395,0,Low Risk
AGT14414038,Pending,39,30,POL91390239,0,Low Risk
AGT54159567,Pending,11,62,POL39627448,0,High Risk
